variable,color,average_of_rho_sq,one_over_avg_rho_sq,number_of_states
rho_djt_pst,all,0.000013014050,76840.03242732523,51
rho_djt_pst,D,0.000004232085,236290.12892520914,16
rho_djt_pst,R,0.000023002602,43473.34298421333,22
rho_djt_pst,swing,0.000006918917,144531.28018084128,13
rho_djt_vep,all,0.000038014269,26305.91162901231,51
rho_djt_vep,D,0.000017813511,56137.16570609938,16
rho_djt_vep,R,0.000056150759,17809.198418651937,22
rho_djt_vep,swing,0.000032184220,31071.127487129936,13
rho_djt_vot,all,0.000027122535,36869.709660793924,51
rho_djt_vot,D,0.000011615349,86092.97733457109,16
rho_djt_vot,R,0.000041569136,24056.30919071768,22
rho_djt_vot,swing,0.000021760208,45955.442554979454,13
rho_djt_vvt,all,0.000022978036,43519.81987901139,51
rho_djt_vvt,D,0.000006247783,160056.77933986168,16
rho_djt_vvt,R,0.000038071585,26266.308488454484,22
rho_djt_vvt,swing,0.000018026189,55474.8440317578,13
rho_dtru_vep,all,0.000029398858,34014.92624222934,51
rho_dtru_vep,D,0.000013254998,75443.24227768907,16
rho_dtru_vep,R,0.000044232131,22607.999825518546,22
rho_dtru_vep,swing,0.000024165765,41380.85449615722,13
rho_dtru_vot,all,0.000020283933,49300.10339160179,51
rho_dtru_vot,D,0.000008250923,121198.55482631705,16
rho_dtru_vot,R,0.000031731490,31514.43518981613,22
rho_dtru_vot,swing,0.000015721002,63609.17792905128,13
rho_dtru_vvt,all,0.000017091000,58510.3256468924,51
rho_dtru_vvt,D,0.000003985692,250897.474453565,16
rho_dtru_vvt,R,0.000029207843,34237.378742770525,22
rho_dtru_vvt,swing,0.000012715184,78646.127023489,13
rho_dtu_vep,all,0.000010817599,92441.95758702098,51
rho_dtu_vep,D,0.000008256321,121119.32057775538,16
rho_dtu_vep,R,0.000016448428,60796.08359050284,22
rho_dtu_vep,swing,0.000004440845,225182.3829610419,13
rho_dtu_vot,all,0.000008354936,119689.72314469954,51
rho_dtu_vot,D,0.000005091570,196403.06129099109,16
rho_dtu_vot,R,0.000013453876,74328.02096882874,22
rho_dtu_vot,swing,0.000003742411,267207.42914635356,13
rho_dtu_vvt,all,0.000007718968,129550.99124669032,51
rho_dtu_vvt,D,0.000005234196,191051.31033510793,16
rho_dtu_vvt,R,0.000012380411,80772.7643117258,22
rho_dtu_vvt,swing,0.000002888555,346193.8752047136,13
rho_hcdu_vep,all,0.000005710899,175103.78322138087,51
rho_hcdu_vep,D,0.000012407371,80597.24884180988,16
rho_hcdu_vep,R,0.000002900709,344743.28422597377,22
rho_hcdu_vep,swing,0.000002224792,449480.169734296,13
rho_hcdu_vot,all,0.000004726901,211555.07852779864,51
rho_hcdu_vot,D,0.000003592270,278375.5219086936,16
rho_hcdu_vot,R,0.000007453510,134164.97942647623,22
rho_hcdu_vot,swing,0.000001509111,662641.9892195864,13
rho_hcdu_vvt,all,0.000004417820,226356.00994224253,51
rho_hcdu_vvt,D,0.000004621230,216392.58935769185,16
rho_hcdu_vvt,R,0.000006213299,160945.100666266,22
rho_hcdu_vvt,swing,0.000001128964,885767.5516127786,13
rho_hcu_vep,all,0.000010814931,92464.76031453599,51
rho_hcu_vep,D,0.000004286997,233263.5344584196,16
rho_hcu_vep,R,0.000018728051,53395.83794047952,22
rho_hcu_vep,swing,0.000005457877,183221.42569936506,13
rho_hcu_vot,all,0.000014040890,71220.55657724784,51
rho_hcu_vot,D,0.000003874976,258066.10894360873,16
rho_hcu_vot,R,0.000024993727,40010.039121400776,22
rho_hcu_vot,swing,0.000008017213,124731.61654393518,13
rho_hcu_vvt,all,0.000011903718,84007.368878266,51
rho_hcu_vvt,D,0.000001588803,629404.840289928,16
rho_hcu_vvt,R,0.000022312026,44818.87849913881,22
rho_hcu_vvt,swing,0.000006984937,143165.2166336133,13
rho_hrc_pst,all,0.000007460770,134034.41452913688,51
rho_hrc_pst,D,0.000010792606,92656.03035512904,16
rho_hrc_pst,R,0.000008369365,119483.37963513534,22
rho_hrc_pst,swing,0.000001822429,548718.2643061127,13
rho_hrc_vep,all,0.000007944399,125874.8507077117,51
rho_hrc_vep,D,0.000019256872,51929.51507333547,16
rho_hrc_vep,R,0.000001989498,502639.2447218381,22
rho_hrc_vep,swing,0.000004098879,243969.16101509987,13
rho_hrc_vot,all,0.000004542821,220127.5541951975,51
rho_hrc_vot,D,0.000006123612,163302.31946019552,16
rho_hrc_vot,R,0.000005199990,192308.04820200673,22
rho_hrc_vot,swing,0.000001485098,673356.1194104792,13
rho_hrc_vvt,all,0.000004592242,217758.5458114408,51
rho_hrc_vvt,D,0.000007656399,130609.7019728588,16
rho_hrc_vvt,R,0.000004297957,232668.66670794872,22
rho_hrc_vvt,swing,0.000001318993,758154.0965576463,13
